id,ean13,description,unit_id,number,brand,category_id
29,"7793360933905","Salsa de Tomate Ajo Cebolla Salsati Doypack x 340 Grs",1,340,"LA CAMPAGNOLA",\N
30,"7791293025629","Shampoo Fuerza Antiquiebre Sedal x 650 Ml",2,650,"SEDAL",\N
31,"7798062541014","Agua Saborizada Pera S Gas Levite x 2.25 Lt",6,2250,"LEVITE",\N
32,"3661163574837","Colonia Adidas Ice Dive Botella x 75 Ml",2,75,"ADIDAS",\N
33,"7798024290301","Galletitas Dulces Polvoron Limon Trimak x 170 Grs",1,170,"TRIMAK",\N
34,"7622300872830","Galletita Cerealitas Avena y Coco x 231.00 Gr",1,231,"CEREALITAS",\N
35,"7792180004307","Aceite Maiz Cañuelas Pet x 900 Cc",2,900,"CAÑUELAS",\N
36,"7790220001705","Azucar Comun Tipo A Dul C x 1 Kg",3,1,"DUL C",\N
37,"7792129002715","Edulcorante Sobres Stevia Equalsweet Caja x 200 Un",1,200,"EQUALSWEET STEVIA",\N
38,"7793260000196","Esponja de Baño Bijou Especial Rect Soft Bolsa x 1 Un",5,1,"BIJOU",\N
39,"7791130001595","Detergente Liq. Extra Blanco Dp Woolite 450 Cc",2,450,"WOOLITE",\N
40,"7790070410139","Polvo para Preparar Bizcochuelo Exquisita Sabor Vainilla x 0.54 Kg",3,0.54,"EXQUISITA",\N
41,"7790139003418","Aceto Balsamico Casalta Reduccion de Aceto Balsamico x 400 Ml",2,400,"CASALTA",\N
42,"7702018983902","Maquina de Afeitar Gillette Prestobarba 3 Ice Blister x 4 Un",5,4,"GILLETTE",\N
43,"7791337531567","Danette Flan Dulce de Lec",1,190,"DANETTE",\N
44,"7798141717989","Fideos Semolados Spaghetti Rojo Carrefour x 500 Gr",1,500,"CARREFOUR",\N
45,"7506339347258","Acondicionador Restauracion Maxpro V Pantene x 200",2,200,"PANTENE",\N
46,"7622300845872","Chicles Beldent Infinit Wow Mint Est x 26.6 Gr",1,26.6,"BELDENT",\N
47,"7791337642324","Yogur Entero Bebible Frutilla Yogurisimo x 1.3 Lt",4,1.3,"YOGURÍSIMO",\N
48,"7790895009044","Agua Saborizada Multifruta S Gas Aquarius x 600 Cc",2,600,"AQUARIUS",\N
49,"7891010010621","Crema Johnsons Corporal Softlotion 24 Hs Bot 400 Ml",2,400,"JOHNSONYJOHNSON",\N
50,"7793759000201","Agua Saborizada K Sei Citrus 1500 Cc",6,1500,"K SEI",\N
51,"8001940003375","Guantes Vileda Fuerte Chico Bsa x 2Uni",5,2,"VILEDA",\N
52,"7798152223448","Mermelada de Damasco Pote Carrefour x 500 Gr",1,450,"CARREFOUR",\N
53,"7790480000401","Mate Cocido Vainilla Saquitos La Tranquera x 25 Un",5,25,"LA TRANQUERA",\N
54,"7791520005141","Body Splash Veritas Lemon Spray x 100 Ml",2,100,"VERITAS",\N
55,"7790040930605","Galletas Dulces Rumba Sabor Chocolate con Rell Coco x 336.00 Gr",1,336,"RUMBA",\N
56,"7790990494240","Lavavajilla Glicerina Zorro x 750 Cc",2,750,"ZORRO",\N
57,"7790639001020","Gaseosa Neuss Cola Botella x 2.25 Lt",6,2250,"NEUSS",\N
58,"7790387010305","Te Filtro Especial sin Ensobrar en Saquitos Taragui x 25 Un",5,25,"TARAGUI",\N
59,"7791113004605","Polvo para Bizcochuelo Emeth Chocolate Paquete x 450 Gr",3,0.45,"EMETH",\N
60,"7896111945896","Esmalte para Uñas Impala Cremoso Maria Flor Bli x 1 Uni",5,1,"IMPALA",\N
61,"7509546052878","Crema Dental Encias Saludables Total Colgate X162G",2,125,"COLGATE",\N
62,"4005808041817","Crema Nivea Body Milk Piel Normal Botella x 125 Ml",2,125,"NIVEA",\N
63,"7790499000652","Choclo Entero Amarillo Lata La Banda x 340 Gr",1,340,"LA BANDA",\N
64,"7793126001442","Dulce Diet Artesanal Arandano Patagonia Berries x 260 Gr",1,260,"PATAGONIA BERRIES",\N
65,"7795697001708","Cerveza Blanca Isenbeck Botella x 1 Lt.",6,1000,"ISENBECK",\N
66,"7790272000046","Aceite Natura Blend Girasol y Oliva x 900.00 Ml",2,900,"NATURA",\N
67,"7791290012387","Detergente Crem Colageno Ala Plus x 750 Cc",2,750,"ALA",\N
68,"7794000960183","Mayonesa Light Pote Hellmanns x 495 Gr",1,495,"HELLMANN`S LIGHT",\N
69,"7798040890288","Pimenton Premium San Giorgio Frasco x 40 Gr",1,40,"SAN GIORGIO",\N
70,"7891132001705","Aderezo Sazon para Arroz Blanco Paq x 60 Grm",1,60,"SAZON",\N
71,"7793147001025","Cerveza Blanca Schneider Botella x 1 Lt",6,1000,"SCHNEIDER",\N
72,"7790639001365","Gaseosa Cunnington Lima Limon Pet x 2.25 L",4,2.25,"CUNNINGTON LIMA LIMON 2.25 LTS.",\N
73,"7792070001089","Aceituna Nucete Verdes en Salmuera x 330.00 Gr",1,330,"NUCETE",\N
74,"7790950133318","Amargo sin Alcohol 1350 Ml Terma Serrano x 1.35 Lt",4,1.35,"TERMA",\N
75,"7792342000048","Azucar Negra Gloria X500Gr",1,500,"GLORIA            ",\N
76,"7790150696057","Polvo para Prerarar Salsa Salada 4 Quesos Alicante x 37 Gr",1,37,"ALICANTE",\N
77,"7791293025995","Jabon Skincare Flores Delicadas 72X1 Lux x 125.00 Gr",1,125,"LUX SKINCARE",\N
78,"7790202000597","Cazuela Mariscos Pennisix170G",1,180,"PENNISI",\N
79,"7791293029740","Acondicionador Proteccion Termica Dove x 200 Cc",2,200,"DOVE",\N
80,"7796373002354","Laurel La Parmesana en Hojas Sobre x 5 Gr",1,5,"LA PARMESANA",\N
81,"7790036973760","Jugo Light Baggio Fresh Manzana Deliciosa Tetrabrik x 1.5 Lt",6,1500,"BAGGIO FRESH",\N
82,"7794626006449","Pañales Talle P Active Sec Mega Huggies x 34 Uni",5,34,"DIAPER HUGGIES",\N
83,"7791290008441","Cif Cr Original C Microp 12X75 Cif Glass Crema Original C Microparticulas x 750.00 Gr",1,750,"CIF GLASS",\N
84,"7790339000101","Escobillon John Plus Fiorentina Plus John Escobillon x 1.00 Pc",5,1,"FIORENTINA PLUS JOHN",\N
85,"7790550000157","Cafe Molido Torrado Cabrales La Planta de Cafe x 250 Gr",1,250,"CABRALES",\N
86,"7790127729221","Aceituna Verde Primer Precio x 200 Gr",1,200,"PRIMER PRECIO",\N
87,"7791813420248","Agua Saborizada Citrus con Gas H2Oh Pet x 500 Cc",2,500,"H2OH!",\N
88,"7794626006906","Pañales Talle G Princesas C P Hiper Huggies x 56Un",5,56,"DIAPER HUGGIES",\N
89,"7790990992685","Jabon en Polvo A E Clasico Zorro x 800 Grs",1,800,"ZORRO",\N
90,"7798159715168","Soda Carrefour Sifon x 2 Lt",4,2,"CARREFOUR",\N
91,"7790740507794","Acondicionador Blindaje Capilar Plusbelle x 650 Cc",4,0.61,"PLUSBELLE EFFECT",\N
92,"7790070317735","Fideos Coditos Rayados Fort Favorita x 500Gr",1,50,"FAVORITA",\N
93,"7899026487093","Kera Liso Brillo Ct Loreal Paris x 300 Gr",1,300,"LOREAL PARIS",\N
94,"7791290010789","Limpiador Cif Cremoso Ultra Hig. x 750 Gr",5,1,"LIMPIADOR CIF CREMOSO",\N
95,"7793742005015","Crema Dermaglos Tonico Hidratante Caja x 200 Ml",2,200,"DERMAGLOS",\N
96,"7792798011919","Cerveza Blanca Cristal Quilmes Botella x 970 Cc",6,970,"QUILMES",\N
97,"7798101630358","Cepillo Pasa Pomada Negro x 1 Un",5,1,"ZINGARA",\N
98,"7790040725102","Galletitas Crackers Serranitas Pack 3 x 105 Grs",1,315,"ARCOR",\N
99,"7791100000214","Azucar Chango Impalpable x 250.00 Gr",1,250,"CHANGO",\N
100,"4023103147232","Paño Multiuso Vileda Microfibra Paquete x 2 Un",5,4,"VILEDA STYLE",\N
102,"7791828000213","Papel Higienico Sweety Decorado Doble Hoja 30 Mts Papel Higienico x 0.00",7,999,"SWEETY",\N
103,"7790520009524","Repelente en Spray Off Repelente en Spray Off Ed x 0.18 Kg",3,0.18,"OFF",\N
104,"7791520007855","Desodor Fem Aerosol Ap Nutrive Veritas x 152 Cc",1,92,"VERITAS",\N
105,"7791495000103","Bolsa de Residuos Collar Plast 50 x 65 Bolsa x 20 Un",5,20,"COLLAR PLAST",\N
106,"7790580106935","Bombones Mogul de Fruta x 500 Gr",1,500,"MOGUL",\N
107,"7794440007509","Antihumedad Mapa Efecto Gel Original Paquete x 1 Un",5,1,"MAPA",\N
108,"7798038152572","Papel Higienico D Hoja Mega Plus Scott 4 x 50 Mt",5,4,"BTHDRY SCOTT",\N
109,"7791913001040","Gaseosa Pritty Limon Pet x 3 Lt",2,3000,"PRITTY",\N
110,"7795646010300","Desodorante Aero London Playboy x 150 Ml",2,150,"PLAYBOY",\N
111,"7792459002157","Escoba La Gauchita Magnifica x 1 Un",5,1,"GAUCHITA",\N
112,"7790070228536","Aceite Ideal Girasol x 1.5Lt",4,1.5,"IDEAL",\N
113,"7797330103589","Endulzante Liquida Grandiet x 100 Cc",6,100,"GRANDIET",\N
114,"7791620001098","Mnateca Base de Aceites Vegetales Manty Light Pote x 200 Gr",1,200,"MANTY LIGHT",\N
115,"7790895009556","Agua Saborizada Pera Aquarius Lata x 354",2,354,"AQUARIUS",\N
116,"7794640170621","Crema Hinds Corporal Antiage Botella x 250 Gr",1,250,"HINDS",\N
117,"7796373000190","Granas La Parmesana Marron Sobre x 85 Gr",1,85,"LA PARMESANA",\N
118,"7891010608231","Apositos Band-Aid Liga Justicia Cja 25 Uni",5,25,"BAND AID",\N
119,"3045320089301","Confitura de Frutillas Bonne Maman x 370 Gr",1,370,"BONNE MAMAN",\N
120,"0040000001607","Caramelos Skittles Original Paquete x 61.5 Gr",1,61.5,"SKITTLES",\N
121,"7790895008146","Agua Mineral sin Gas Bonaqua Pet x 2.5 Lt",4,2.5,"BONAQUA",\N
122,"7791476021004","Garbanzos Egran x 500 Gr",1,500,"EGRAN",\N
123,"7798008381506","Guantes Patito Chico Bolsa x 2 Un",5,2,"PATITO",\N
124,"7790036125121","Mocoreta 500Cc Manzana",6,500,"MOCORETA",\N
125,"7793008012719","Coloracion Issue * 61 Kit 5 Un",5,5,"ISSUE",\N
126,"7798044820182","Confitura Frutos Del Bosque Organica Cuyen x 280 Gr",5,1,"CUYEN",\N
127,"7793065000117","Aceite Comestible Girasol Costa Del Sol 0900Cc x 0.00 C01",6,0,"COSTA DEL SOL",\N
128,"7798008381513","Guantes Patito Mediano Bolsa x 2 Un",5,2,"PATITO",\N
129,"7793940095405","Postre Vainilla Kull Serenito x 120 Grs",1,125,"SERENITO",\N
130,"7622300829544","Galletitas Surtidas Dorada Variedad x 300 Grs",1,300,"VARIEDAD",\N
131,"7798180960285","Acondicionador Alfakeratin Altamoda x 300 Cc",5,1,"ALTA MODA",\N
132,"7790010684224","Colonia Johnson Baby Fresca Caricia Botella x 100 Ml",2,100,"JOHNSON'S BABY",\N
133,"7793253099084","Limpiador Poett Fraganzasuavidaddebebe x 450.00 Ml",2,450,"POETT",\N
134,"7798040890042","Fideos Fusilli Negro San Giorgio x 200 Grs",5,1,"SAN GIORGIO",\N
135,"7898587775106","Ampolla Nutricion Oleo Extraordinario Loreal Paris x 15 Ml",2,15,"LOREAL PARIS",\N
136,"7791293027746","Desodorante Aero Masc Air Patrichs x 105 Cc",1,105,"PATRICHS",\N
137,"7795646381202","Desodorante Masc Aerosol Pure Game Adidas x 150 Cc",2,150,"ADIDAS",\N
139,"7790580259600","Caramelos Arcor Mogul Dientes",7,1302,"MAGNASCO",\N
140,"7790520015655","Glade Auto Sport Neutr. Full 7 Cc.",1,7,"GLADE",\N
141,"7790040314108","Galletita Vainilla Relleno Vainilla x 80.00 Gr",1,80,"LIA",\N
142,"7790079011085","Pate de Foie Paladini 83121 x 85.00 Gr",1,85,"PALADINI",\N
143,"7790099007327","Lavavajilla Kokki Polvo Doypack x 900 Cc",6,900,"KOKKI",\N
144,"7899026484665","Acondicionador Renutricion Elvive x 750 Cc",2,750,"LOREAL PARIS",\N
145,"3014260278922","Cepillo Denttal Niños Toothbrush Manual 8 Years Short Handle Soft Oral B x 1.00 Un",5,1,"ORAL B MANUAL",\N
146,"7794270035475","Bizcochuelo Barbara Sabor Vainilla Barbara x 450 Gr",1,450,"BARBARA",\N
147,"7791600087234","Desodorante en Aerosol para Hombres Colbert Us x 250.00 Cc",6,250,"COLBERT US",\N
148,"7798089053019","Aceite Oliva Indalo Extra Virgen Frutado Botella x 500 Ml",2,500,"INDALO",\N
150,"7793650000034","Arroz Largo Fino Carogram Azul 1000 Grs",1,1000,"CAROGRAM",\N
151,"7790080019926","Queso Fynbo Corazon Horma Sancor x 300 Gr",3,0.28,"SANCOR SELECCION CDH",\N
152,"7622300855123","Jugo en Polvo Naranja Durazno Clight x 8.5 Grs",1,9,"CLIGHT",\N
153,"7791290011922","Jabon Polvo B E C Vivere Remueve Manchas Ala X800G",1,800,"ALA",\N
154,"7790520006912","Desodorante Ambiente Glade Lav & Vain + Algodon Paquete x 2 Un",5,2,"GLADE",\N
155,"7790045000785","Copos de Maiz Granix Sin Adicion de Sal Bolsa x 400 Gr",1,400,"GRANIX",\N
156,"7501059273252","Cafe en Capsula Nescafe Espresso x 0.10 Kg",3,0.1,"NESCAFE",\N
157,"7798065730323","Agua S Gas Naranja Sierra de Los P 1500 Cc",3,1.6,"SIERRA DE LOS PADRES",\N
158,"7798102572862","Film Adherente Profilm 45 Cm Paq x 100 Mtr",7,100,"PROFILM",\N
159,"7702010631207","Cepillo Dental Triple Accion Colgate x 2.00 Un",5,2,"COLGATE",\N
160,"7790272006697","Aceite Mazola Maiz x 500 Ml",5,1,"ACEITE MAZOLA MAIZ",\N
161,"7790895004346","Agua Mineral sin Gas en Bidon Kin x 6 Lt",4,6,"KIN",\N
162,"7790520012029","Crema Lavanda Blem x 200.00 Cc",6,200,"BLEM",\N
163,"7794000598515","Knorr Sopa Quick Light Zapallo Knorr Light Zapallo x 5.00 Pc",5,5,"KNORR",\N
164,"7798152224131","Pan de Salvado Carrefour x 620 Grs",1,600,"CARREFOUR",\N
165,"7791476036008","Maiz Pisingallo Egran x 500 Gr",1,500,"EGRAN",\N
166,"7796373113104","Laurel La Parmesana Molido Sobre x 25 Gr",1,25,"PARMESANA",\N
167,"7791520000078","Crema para Peinar Tresemme Climate Control Botella x 200 Ml",2,200,"TRESEMME",\N
168,"7622300847210","Galletitas Clasicas Express x 108 Gr",1,108,"EXPRESS",\N
169,"7790520009944","Aerosol Raid Casa y Jardin x 0.44 Kg",3,0.44,"RAID",\N
170,"8001250120113","Fideos Largos Sem. de Cecco Spaghettini Paq x 500 Grm",1,500,"DE CECCO",\N
171,"7796953511146","Pate Bocatti de Jamon x 90.00 Gr",1,90,"BOCATTI",\N
172,"7798159717209","Fideos Semolados Mostacholes Carrefour Roj x 500 Gr",1,500,"CARREFOUR",\N
173,"7790310002568","Galleta Pepsico Kesbun Sabor a Queso Rallado x 100.00 Gr",1,100,"PEPSICO",\N
174,"7791293020570","Desodorante Black Lord Cheseline x 155.00 Gr",1,155,"LORD CHESELINE",\N
175,"0000077916396","Chicles Topline Strong Paquete x 6.7 Gr",1,6.7,"TOPLINE",\N
176,"7790250022381","Rollo de Cocina Diseno 70 Panos Elite x 3 Uni",7,30,"ELITE",\N
177,"7790520986160","Jeringa Mata Cucarachas Raid en Gel x 3.00 Gr",1,3,"RAID",\N
178,"7794980932255","Azucar Impalpable 0250Grs x 0.00 Grs",1,0,"YUSPE",\N
179,"7622300869878","Galletita Oreo Chocolate x 117.00 Gr",1,117,"OREO",\N
180,"7793940651106","Leche Descremada Deslactosada Fortificante con Calcio Vitamina Ultra La Serenisima Junior x 1000 Cc",4,1,"JUNIOR",\N
181,"0099176316565","Cepillo Dental Max Fresh Medium Colgate x 2.00 Un",5,2,"COLGATE",\N
182,"7791109001311","Atun Lomo Trozado en Aceite Leader Price x 240 Gr",1,240,"LEADER PRICE         ",\N
183,"7790524000176","Granola Go Natural Berries Caja x 300 Gr",1,300,"GO NATURAL",\N
184,"7798130880700","Rollo de Cocina Vual 2 x 60 Panos",5,2,"VUAL",\N
185,"7790520016508","Desodorante de Ambientes Glade Floral Perfection Nueva Formula x 751.00 Cc",6,751,"GLADE",\N
187,"7506295302360","Acondicionador Endu C Fuerza Herbal Essencesx300Cc",2,300,"HERBAL ESSENCES",\N
188,"7792170052271","Bebida Isotonica Gatorade Manzana x 750.00 Cc",6,750,"GATORADE",\N
189,"7790380015888","Caramelos Flynn Paff Tuti Fruti Paquete x 504 Gr",1,504,"FLYNN PAFF",\N
190,"7791813420651","Agua Saborizada Naranchelo Pet H2Oh x 500 Cc",2,500,"H2OH!",\N
191,"7790387013160","Yerba Mate Bajo Contenido en Polvo Origen Controlado Taragui x 500 Gr",1,500,"TARAGUI",\N
192,"7793360004759","Dulce de Leche Poncho Negro x 450 Gr",1,450,"PONCHO NEGRO",\N
193,"7790520012685","Cera Autobrillo Incoloro Blem x 2.18 Cc",6,2.18,"BLEM",\N
194,"7798096056225","Jabon Liquido Aloe Vera Spa x 320 Cc",6,320,"SPA",\N
195,"7790387010152","Mate Cocido Ensobrado Union x 40 Un",1,120,"UNION",\N
196,"7896111950661","Esmalte Uñas Impala Cremoso Listrado Bli 7.5 Ml",2,7.5,"IMPALA",\N
197,"7509546006956","Jabon Liquido Aroma Therapy Palmolive x 221 Ml",2,221,"PALMOLIVE",\N
198,"7509546003122","Crema Dental Smiles Barbie Colgate x 100 Gr",1,100,"COLGATE",\N
199,"7790580169701","Gelatina Godet Jalea Naranja Godet 24X100 Gr x 100.00 Gr",1,100,"GODET",\N
200,"7790590000391","Paño para Piso Gris Ranchera Premium Tejido Reforzado x 1.00 Un",5,1,"RANCHERA PREMIUM",\N
201,"7791130081351","Limpiador Dettol Espadol Cocina Doypack x 500 Ml",2,500,"ESPADOL",\N
202,"7791813421382","Gaseosa Pomelo Reg. Paso de Los Toros Pet x 1.5 Lt",4,1.5,"PASO DE LOS TOROS POMELO",\N
203,"4005808846290","Crema Nivea Anti Edad Frasco x 75 Ml",2,75,"NIVEA",\N
204,"7796989008542","Pan Blanco Tipo Artesano Bimbo x 500 Gr",1,500,"BIMBO",\N
205,"7791293024837","Jabon Antibac Cream 24X Lifebuoy Cream x 125.00 Gr",1,125,"LIFEBUOY",\N
206,"7793360103018","Ketchup Doyp La Campagnola x 250.00 Gr",1,250,"LA CAMPAGNOLA",\N
207,"7798180960278","Acondicionador Argantherapy Altamoda X300 Cc",5,1,"ALTA MODA",\N
208,"7793742007583","Gel Dermaglos Facial Limpieza Purificante Pomo x 150 Gr",1,150,"DERMAGLOS",\N
209,"7794000958548","Fanacoa Aderezo Ketchup x 250.00 Gr",1,250,"FANACOA",\N
210,"7891010606497","Toalla Femenina Ultrafina Tc Siempre Libre x 8 Un",5,8,"SIEMPRE LIBRE",\N
211,"7790990501498","Jabon Liquido Plusbelle Espuma Cacao-Ce 250 Ml.",2,250,"PLUSBELLE",\N
212,"7891167011861","Pate de Atun con Aceitunas Gomes Da Costa x 150 Gr",1,150,"GOMES DA COSTA",\N
213,"7791293029535","Shampoo Color Duradero Dove x 200 Ml",2,200,"DOVE",\N
214,"7798067050337","Polvo para Flan Frams Light Vainilla Caja x 16 Gr",1,16,"FRAMS",\N
215,"7790742140609","Dulce de Leche Colonial Pote La Serenisima x 400 Gr",1,400,"LA SERENISIMA",\N
216,"7796373114903","Ajo Granulado La Parmesana Sobre x 25 Gr",1,25,"LA PARMESANA",\N
217,"4005900208552","Crema Nivea x 400 Ml x 400 Ml Hidratante Express",2,400,"NIVEA",\N
218,"7792290278230","Lentejas Montenevi Seca Remojada 350 Gr Lata",1,350,"MONTENEVI",\N
219,"7790065000048","Papel Rolopaper Manteca x 5 Mts. x 1.00 Pc",5,1,"ROLOPAPER",\N
220,"0000080052760","Chocolate Kinder Bueno Tab 43 Grm",1,43,"KINDER",\N
221,"7794640171376","Antitranspirante Rollon Flowers Hinds x 60 Grs",1,60,"HINDS",\N
222,"7891008235920","Bombones Garoto Surtido x 355 Gr",1,355,"SIN MARCA",\N
223,"0021000658831","Fideos Macaroni & Chesse Kraft Caja x 206 Gr",1,206,"KRAFT",\N
224,"7798062540284","Agua Saborizada Pomelo S Gas Vds Levite x 2.25 Lt.",6,2250,"VILLA DEL SUR LEVITE",\N
225,"7790613000254","Autobrillo Suiza Negro x 900.00 Cc",6,900,"SUIZA",\N
226,"7500435019248","Detergente Espuma Activa de Limon Magistral x 750 Cc",6,750,"MAGISTRAL",\N
227,"7790411001545","Yerba Mate Rosamonte Junior x 1 Kg",3,1,"ROSAMONTE",\N
228,"7793126000636","Dulce de Frambuesa Patagonia Berries x 1.00 Pc",5,1,"PATAGONIA BERRIES",\N
229,"7790681000378","Porotos Pallares La Egipciana Bolsa x 400 Gr",1,400,"LA EGIPCIANA",\N
230,"7798054220163","Galletita Gondola Terepin Soft Terepinsoft Frutos Del Bosque x 330.00 Gr",1,330,"TEREPIN SOFT",\N
231,"7794626006845","Pañales Adulto Adubrf Plenitud x 16.00 Pc",5,16,"ADUBRF PLENITUD",\N
233,"7792070001775","Pepinos Nucete Agridulces Frasco x 540 Gr",1,400,"NUCETE",\N
234,"7793024002145","Caramelos Lipo Gajitos Acidos Bol x 150 Gr",1,150,"LIPO",\N
235,"7791520000245","Crema Farmaco para Manos Nutritiva Botella x 65 Ml",2,65,"FARMACO",\N
236,"7506339394771","Detergente Marina Ed Esp Azul Magistral x 750 Cc",2,750,"MAGISTRAL",\N
237,"7791290785366","Limpiador Baño Gatillo Cif x 500 Ml",2,500,"CIF",\N
238,"7790080012842","Queso Sardo Corazon Horma Sancor x 230 Gr",3,0.23,"SANCOR",\N
239,"7797222006189","Cepillo Tao Brushing Nro 10",5,1,"TAO",\N
240,"7791905003489","Limpiador Liquido Bosque Querubin x 900 Cc",6,0.9,"QUERUBÍN FRESH",\N
241,"7793253000790","Limpiador Liquido Bebe Libre Enjuague Poett X1.8 L",1,1846,"POETT",\N
242,"7791866001357","Mayonesa Doypack Natura x 1000 Cc",6,1000,"NATURA",\N
243,"7794820001677","Yogur Descremado Vainilla Pote Milkaut x 200 Gr",1,200,"MILKAUT",\N
244,"7793100130106","Crema Dental Dientes Blancos Odol x 180 Grs",1,180,"ODOL",\N
245,"7796662000078","Lavandina Libertador x 1 Lt",4,1,"LIBERTADOR",\N
246,"0645554020229","Galletitas Horneadas La Cumbre Cebolla y Salsa Bolsa x 120 Gr",1,120,"LA CUMBRE",\N
247,"7790580300302","Bon O Bon Leche x 306 Gr",1,306,"SIN MARCA",\N
248,"7791293025872","Antitranspirante Aero Peace Axe x 152 Cc",1,90,"AXE",\N
249,"7790236001270","Tapa Pascualina Criolla La Saltena 2 x 400 Grs",5,2,"LA SALTAÑA",\N
250,"7794440006724","Mop Mapa Virulana con Gatillo Spray x 1 Un",5,1,"VIRULANA",\N
251,"7798085370080","Manteca Primer Premio x 200 Gr",1,200,"PRIMER PREMIO",\N
252,"7790310004395","Mani Pelado Pehuamar Bolsa x 100 Gr",1,100,"PEHUAMAR",\N
253,"7796953303123","Pate Bocatti Clasico x 90.00 Gr",1,90,"BOCATTI",\N
254,"7790520015181","Desodorante Ambiente Glade Floral Groove Aerosol x 270 Cc",6,270,"GLADE",\N
255,"7798031154252","Fideos Mostachol Sabores Knorr x 500 Gr",1,500,"KNORR",\N
256,"7793253169084","Limpiador Baño Doypack Ayudin x 500 Cc",1,530,"AYUDÍN",\N
257,"7798108348324","Agua Mineral sin Gas Carrefour Pet x 2 Lt",6,2000,"CARREFOUR",\N
258,"7793100141447","Enjuague Bucal Colgate Ice Infinity x 500.00 Ml",2,500,"COLGATE",\N
259,"7793620002105","Tampones Super Evolution Kotex x 8 Uni",5,8,"FEMTAM KOTEX",\N
260,"7790203000435","Arroz Doble Carolina en Estuche Noble x 1 Kg",3,1,"NOBLE MOLINOS ENTRERRIANO",\N
261,"7790117001825","Bolsa para Heces Mascota Asurin Rollo + Bolsas 33 x 22 Paquete x 3 U",5,3,"ASURIN",\N
262,"7790080067828","Yogur Firme Light Durazno Yogs Sancor x 190 Gr",1,190,"SANCOR",\N
263,"7898957743735","Acondicionador Alta Moda E Bb Cream Bot x 300 Ml",2,300,"ALTA MODA É",\N
264,"7899706127066","Coloracion Loreal Excellence T 6.7 Cja x 1 Uni",5,1,"LOREAL",\N
265,"7791675908076","Aceituna Castell Verdes Premium Descarozadas x 180.00 Gr",1,180,"CASTELL",\N
266,"7790613001077","Cera para Pisos Original Suiza Liquida Natural x 0.43 Kg",3,0.43,"SUIZA",\N
267,"7791078022744","Cereal Granix Sabor Miel x 130.00 Gr",1,130,"GRANIX",\N
268,"7791520006148","Cremas Corporales Veritas Piel Seca x 400.00 Ml",2,400,"VERITAS",\N
269,"7509552908299","Crema Loreal Humectante Hidra Total 5 Pote x 50 Ml",2,50,"LOREAL",\N
